Age,Gender,Country,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Screen_Time_Hours_Per_Day,Attendance_Percentage,Family_Income_Level,Stress_Level,Mental_Health_Score,Final_Exam_Score,Pass_Fail
24,Female,Pakistan,7,5.6,6.3,80,High,6,10,37.0,Fail
21,Male,India,20,5.1,8.5,50,Medium,8,63,28.0,Fail
22,Male,Pakistan,34,5.8,1.7,61,High,1,93,49.0,Fail
16,Female,Canada,44,5.9,5.3,88,High,6,82,80.0,Pass
24,Female,Australia,6,4.3,6.7,53,Low,2,47,27.0,Fail
22,Female,Pakistan,21,5.8,8.5,91,High,2,38,39.0,Fail
17,Female,UK,45,6.3,8.1,62,Medium,7,70,66.0,Pass
21,Female,Germany,16,7.6,3.5,83,High,10,76,39.0,Fail
17,Female,Australia,39,7.3,9.5,91,High,1,53,84.0,Pass
21,Female,Pakistan,47,7.5,2.1,70,Low,6,78,68.0,Pass
16,Male,Australia,5,4.0,8.9,71,Medium,7,44,13.0,Fail
24,Female,France,49,5.1,9.7,53,High,8,74,75.0,Pass
20,Male,Australia,19,7.3,2.6,67,Low,7,54,20.0,Fail
17,Female,Australia,30,6.4,7.5,54,High,6,20,48.0,Fail
17,Female,Canada,41,4.0,1.4,68,Medium,9,79,42.0,Fail
23,Male,UK,25,8.0,4.6,51,High,3,31,51.0,Pass
21,Female,USA,35,7.9,5.6,61,High,6,7,49.0,Fail
19,Female,USA,29,6.7,6.2,66,Low,4,58,61.0,Pass
24,Male,Pakistan,27,4.3,9.4,59,High,2,10,52.0,Pass
21,Female,Australia,28,7.8,7.1,83,Low,1,10,45.0,Fail
23,Female,Pakistan,42,6.9,5.3,55,Medium,1,39,80.0,Pass
15,Female,Canada,32,7.9,8.3,57,High,10,28,56.0,Pass
21,Male,Canada,25,7.8,9.6,60,Medium,3,30,52.0,Pass
20,Female,India,47,8.0,1.2,61,Medium,4,37,61.0,Pass
24,Female,France,22,6.6,9.8,58,High,2,67,38.0,Fail
23,Female,Canada,40,4.7,1.8,51,Low,1,43,63.0,Pass
15,Female,India,39,7.4,8.3,57,Medium,4,79,51.0,Pass
18,Male,UK,49,7.1,3.5,60,Medium,7,85,83.0,Pass
23,Male,Pakistan,13,7.7,2.2,85,High,10,52,28.0,Fail
18,Female,Germany,42,4.8,5.0,59,High,6,56,32.0,Fail
24,Female,UK,34,5.0,6.8,70,High,6,76,56.0,Pass
17,Male,Canada,48,8.5,4.4,69,High,9,68,61.0,Pass
23,Male,UK,38,7.7,1.5,97,High,2,9,71.0,Pass
16,Female,UK,36,8.5,6.4,57,High,4,92,51.0,Pass
18,Male,France,7,7.8,9.1,85,Low,5,23,34.0,Fail
20,Female,France,7,7.0,4.4,78,Medium,1,63,41.0,Fail
16,Male,France,32,7.3,2.9,91,Low,8,61,57.0,Pass
22,Male,UK,48,8.4,5.0,61,Low,8,40,61.0,Pass
22,Male,Canada,19,6.9,1.4,63,High,6,44,32.0,Fail
15,Male,Germany,45,7.2,8.4,97,Medium,5,86,76.0,Pass
17,Female,Australia,27,4.8,8.4,99,Low,8,24,42.0,Fail
24,Male,UK,44,6.4,6.3,70,High,3,51,75.0,Pass
23,Male,India,15,7.6,4.2,71,High,3,58,39.0,Fail
19,Female,Canada,36,5.4,8.2,70,Medium,2,90,77.0,Pass
20,Male,UK,40,5.0,6.0,93,Low,5,94,81.0,Pass
18,Male,Germany,37,5.6,8.4,99,Low,3,33,63.0,Pass
24,Female,Australia,28,5.2,6.7,79,Low,3,16,61.0,Pass
16,Male,France,43,5.1,8.1,88,High,6,22,59.0,Pass
22,Female,Canada,38,6.1,6.4,69,Medium,8,57,61.0,Pass
20,Female,USA,32,8.5,4.7,73,Medium,2,62,52.0,Pass
19,Female,Australia,41,6.5,9.6,72,Low,4,82,55.0,Pass
23,Female,India,11,4.9,5.9,56,High,7,71,22.0,Fail
15,Male,UK,8,4.4,6.4,58,Low,1,90,0.0,Fail
19,Female,Germany,41,7.5,3.0,50,Medium,1,72,45.0,Fail
20,Male,USA,5,5.9,6.6,75,High,10,70,12.0,Fail
19,Male,Germany,5,8.1,6.1,87,Low,7,30,22.0,Fail
20,Male,USA,24,7.3,2.7,87,Low,7,23,41.0,Fail
20,Male,Canada,23,8.0,1.5,93,High,1,32,38.0,Fail
21,Male,USA,33,5.4,6.4,71,Medium,1,86,51.0,Pass
18,Male,India,14,7.5,7.9,93,High,4,57,43.0,Fail
22,Male,India,22,5.3,5.7,59,Low,5,9,42.0,Fail
21,Male,Pakistan,32,8.7,3.0,55,Low,5,31,47.0,Fail
23,Male,India,39,7.2,7.0,66,Low,4,71,72.0,Pass
21,Male,Australia,47,5.6,1.7,99,Low,8,9,78.0,Pass
17,Female,USA,35,5.3,5.0,87,Medium,7,13,50.0,Pass
17,Female,India,31,5.0,2.5,73,Medium,9,58,43.0,Fail
22,Female,Canada,15,7.5,2.7,59,Low,7,3,11.0,Fail
19,Male,Germany,42,5.1,2.8,57,Medium,10,35,51.0,Pass
18,Female,France,9,7.0,4.5,70,Medium,1,97,41.0,Fail
22,Female,Germany,12,5.3,1.5,55,Medium,7,21,27.0,Fail
20,Female,Pakistan,38,7.3,4.6,70,Low,1,64,79.0,Pass
16,Male,Germany,16,8.1,5.6,88,High,7,95,32.0,Fail
18,Male,USA,42,7.9,5.3,73,High,10,52,71.0,Pass
18,Male,Pakistan,5,7.8,4.4,82,High,8,34,17.0,Fail
20,Male,USA,35,4.9,8.6,67,Low,9,96,63.0,Pass
20,Female,Canada,8,4.4,2.3,77,Medium,3,35,28.0,Fail
15,Female,Pakistan,49,7.5,5.6,81,Medium,4,15,84.0,Pass
22,Female,UK,9,5.8,1.6,61,Low,4,96,38.0,Fail
20,Female,Australia,34,6.2,1.6,97,Low,9,6,54.0,Pass
17,Male,Australia,28,4.2,6.2,91,High,7,85,53.0,Pass
23,Male,USA,7,5.3,6.1,76,High,3,97,40.0,Fail
16,Male,Germany,15,4.2,8.9,59,Low,10,32,19.0,Fail
22,Female,France,49,8.4,6.0,95,High,5,52,67.0,Pass
24,Male,France,8,5.2,9.6,91,Medium,7,83,48.0,Fail
17,Male,UK,30,6.8,1.4,81,Low,8,97,44.0,Fail
19,Female,Pakistan,31,4.2,1.9,91,Low,1,28,65.0,Pass
20,Female,UK,47,7.3,1.4,75,Medium,2,95,87.0,Pass
24,Male,UK,31,5.6,2.7,74,Medium,7,85,43.0,Fail
20,Male,Germany,46,8.5,5.9,60,Medium,2,98,60.0,Pass
18,Male,France,10,8.4,6.8,72,High,7,64,26.0,Fail
17,Male,Pakistan,19,5.6,1.4,83,Low,9,79,16.0,Fail
18,Male,Canada,34,8.5,9.5,89,High,2,78,62.0,Pass
15,Male,Germany,46,9.0,8.6,72,Medium,7,19,69.0,Pass
18,Female,UK,41,8.1,3.7,78,High,4,15,64.0,Pass
15,Female,UK,41,8.2,1.7,80,Medium,2,6,55.0,Pass
15,Female,Canada,46,5.2,2.5,56,High,7,73,77.0,Pass
24,Male,UK,41,6.9,2.1,89,High,5,84,69.0,Pass
20,Female,UK,39,4.3,2.1,82,Medium,1,98,84.0,Pass
19,Male,UK,27,4.5,5.7,70,High,5,38,43.0,Fail
18,Male,Australia,10,9.0,3.2,51,Low,3,26,14.0,Fail
17,Female,Germany,8,5.6,4.2,67,High,7,82,22.0,Fail
15,Male,India,22,7.7,9.9,96,High,6,92,44.0,Fail
20,Male,Germany,13,8.0,7.2,82,Low,8,51,16.0,Fail
16,Female,Canada,33,8.3,9.5,86,Medium,5,73,73.0,Pass
22,Female,UK,17,9.0,2.3,83,Low,2,96,36.0,Fail
24,Female,Germany,21,5.2,4.4,69,High,9,53,14.0,Fail
19,Male,Australia,49,4.2,6.0,84,Medium,8,56,85.0,Pass
21,Female,France,36,6.1,1.7,99,High,6,59,59.0,Pass
24,Female,Canada,26,4.7,1.0,67,High,10,70,30.0,Fail
16,Male,USA,8,4.1,7.0,95,Low,7,78,10.0,Fail
22,Female,Germany,9,5.8,6.8,73,Low,9,92,37.0,Fail
16,Female,USA,41,7.9,4.7,57,Medium,7,58,43.0,Fail
18,Female,UK,45,6.8,5.4,79,Medium,3,88,74.0,Pass
15,Male,Australia,17,5.6,4.7,93,Medium,6,13,48.0,Fail
19,Male,Australia,38,7.3,1.2,59,High,7,43,57.0,Pass
23,Male,Germany,49,5.2,4.0,72,Low,2,76,77.0,Pass
15,Male,Canada,26,4.1,2.6,98,Low,3,51,39.0,Fail
23,Female,Canada,27,7.8,1.9,60,Low,4,19,36.0,Fail
22,Male,Australia,7,7.1,9.6,51,Medium,10,21,11.0,Fail
20,Male,Canada,46,7.8,6.4,75,Low,6,91,61.0,Pass
21,Female,Australia,38,4.2,7.6,85,Low,1,83,72.0,Pass
17,Female,Germany,36,8.2,3.8,82,Low,9,24,61.0,Pass
15,Female,India,49,7.1,4.5,96,Medium,5,26,90.0,Pass
19,Male,Australia,25,6.8,3.1,62,Low,7,45,26.0,Fail
16,Male,USA,48,7.1,1.9,89,Medium,9,28,93.0,Pass
19,Male,Canada,25,8.3,2.6,74,Low,9,82,46.0,Fail
22,Female,Australia,48,6.9,8.2,53,Low,1,100,72.0,Pass
23,Female,Australia,15,6.9,7.1,91,Low,1,29,55.0,Pass
16,Male,Germany,43,9.0,5.9,68,Medium,3,17,91.0,Pass
17,Female,Canada,8,7.8,5.3,67,Medium,6,68,6.0,Fail
17,Female,India,5,6.2,9.3,86,Low,2,44,27.0,Fail
15,Female,Germany,32,7.5,1.7,79,High,10,61,23.0,Fail
22,Male,India,28,5.9,3.5,68,Medium,1,93,54.0,Pass
20,Female,France,39,5.1,4.1,72,Medium,1,68,71.0,Pass
22,Female,Germany,17,7.0,8.0,65,Low,5,74,32.0,Fail
23,Male,Canada,38,8.6,9.9,50,High,4,25,48.0,Fail
19,Male,Pakistan,15,8.6,3.2,61,Low,1,95,14.0,Fail
17,Female,Canada,40,5.7,8.9,73,Medium,4,67,68.0,Pass
19,Female,Canada,21,6.6,8.5,83,Medium,3,2,60.0,Pass
19,Male,India,39,5.1,3.0,57,Low,2,89,55.0,Pass
19,Male,India,22,9.0,4.6,67,Low,9,49,37.0,Fail
17,Female,Canada,44,8.9,4.7,97,High,1,70,65.0,Pass
24,Female,Canada,26,7.2,9.8,54,High,7,26,41.0,Fail
18,Female,Canada,28,8.0,2.6,75,Medium,4,72,46.0,Fail
23,Female,India,23,7.6,8.2,79,High,5,99,36.0,Fail
24,Male,Canada,41,7.0,4.0,62,High,10,27,45.0,Fail
23,Female,Canada,43,4.3,7.6,68,Medium,5,89,61.0,Pass
16,Female,France,25,6.3,4.8,78,Medium,1,18,56.0,Pass
22,Male,UK,12,7.4,6.2,52,Medium,6,54,8.0,Fail
22,Female,Pakistan,32,7.4,8.5,75,Medium,9,1,43.0,Fail
21,Male,USA,9,5.9,8.2,89,Low,2,61,34.0,Fail
22,Female,Pakistan,21,8.7,8.8,61,Medium,7,3,22.0,Fail
17,Female,UK,41,4.8,1.5,51,Medium,6,68,73.0,Pass
20,Male,USA,40,6.5,7.2,60,Medium,5,41,50.0,Pass
15,Male,Germany,23,7.5,2.3,93,High,4,37,43.0,Fail
21,Female,Canada,31,7.5,4.7,77,Medium,4,51,45.0,Fail
15,Female,UK,38,7.2,5.9,67,Low,6,15,75.0,Pass
23,Female,France,15,5.4,4.6,62,Low,4,8,36.0,Fail
15,Male,Germany,49,4.8,5.7,86,Medium,5,38,68.0,Pass
15,Female,Canada,16,7.2,10.0,71,Low,6,83,43.0,Fail
21,Male,India,25,7.0,2.2,61,High,5,56,43.0,Fail
16,Male,Australia,15,4.9,7.1,51,Medium,7,47,25.0,Fail
19,Female,UK,43,7.5,4.6,86,Low,9,90,60.0,Pass
22,Male,India,32,6.3,2.2,56,Low,10,10,33.0,Fail
22,Female,UK,9,7.3,2.4,75,Medium,7,78,26.0,Fail
17,Female,France,21,8.2,9.5,75,Low,7,49,32.0,Fail
21,Female,UK,24,4.8,8.9,73,Medium,4,41,63.0,Pass
17,Female,India,45,4.1,9.2,61,Low,1,83,58.0,Pass
20,Female,France,16,7.9,9.9,65,High,8,30,42.0,Fail
20,Male,USA,10,7.0,2.9,72,Low,4,5,26.0,Fail
17,Male,Pakistan,21,7.5,4.2,89,Low,1,95,53.0,Pass
21,Female,Canada,23,8.2,7.0,58,Medium,5,71,46.0,Fail
17,Female,UK,30,8.0,5.4,81,Low,8,83,42.0,Fail
22,Male,Canada,48,8.8,4.8,64,Medium,4,31,79.0,Pass
24,Male,Australia,48,6.7,4.2,86,High,8,52,44.0,Fail
18,Male,India,36,6.4,6.3,62,Medium,8,88,43.0,Fail
15,Male,Canada,10,6.0,6.2,54,Medium,3,98,14.0,Fail
18,Female,India,40,4.8,2.5,60,Low,9,23,40.0,Fail
21,Female,Canada,42,6.9,5.2,59,High,3,48,61.0,Pass
18,Male,Pakistan,15,5.4,6.0,62,Medium,1,40,39.0,Fail
20,Female,Pakistan,37,8.6,6.1,90,Low,2,6,75.0,Pass
23,Male,France,28,6.9,2.9,95,Low,6,38,56.0,Pass
15,Female,Pakistan,27,7.0,7.7,99,Medium,10,41,40.0,Fail
19,Male,France,19,5.8,1.2,64,Low,2,100,43.0,Fail
21,Female,Pakistan,31,4.3,4.2,91,Medium,6,27,57.0,Pass
15,Male,Pakistan,15,4.2,8.0,56,Medium,1,75,43.0,Fail
18,Male,Pakistan,21,6.1,6.1,89,Medium,1,69,58.0,Pass
20,Female,India,18,4.4,3.4,77,High,5,57,38.0,Fail
16,Male,UK,31,7.0,7.3,81,Medium,10,17,38.0,Fail
24,Female,France,22,8.4,6.1,84,Low,9,71,32.0,Fail
19,Female,Canada,32,8.4,8.2,64,High,8,91,40.0,Fail
24,Male,Pakistan,8,7.3,7.6,97,Low,3,47,31.0,Fail
15,Female,India,11,5.1,6.5,85,High,3,79,37.0,Fail
20,Female,India,49,8.3,5.4,70,High,1,13,85.0,Pass
20,Female,India,39,8.4,2.2,55,High,3,11,58.0,Pass
18,Female,France,13,5.0,3.4,50,High,1,90,29.0,Fail
22,Female,UK,12,7.7,4.8,53,Low,8,86,20.0,Fail
18,Male,France,49,5.4,6.4,60,Medium,1,92,70.0,Pass
22,Female,Canada,21,8.0,5.6,93,Low,5,24,36.0,Fail
22,Female,UK,21,9.0,3.6,75,Medium,9,93,17.0,Fail
19,Female,USA,37,4.2,1.1,86,Low,7,73,53.0,Pass
18,Female,Germany,36,8.5,5.5,72,High,4,4,64.0,Pass
16,Female,India,12,7.1,3.6,78,High,9,46,17.0,Fail
17,Male,France,23,8.9,7.6,70,Medium,9,18,33.0,Fail
17,Female,USA,42,6.3,1.2,97,Medium,2,43,81.0,Pass
18,Male,Australia,7,8.2,6.3,94,Low,10,80,27.0,Fail
18,Male,France,9,4.3,9.5,94,Medium,10,33,13.0,Fail
24,Male,Pakistan,17,5.7,2.6,98,Low,6,93,51.0,Pass
19,Male,Germany,35,4.3,5.2,76,Medium,4,10,70.0,Pass
18,Female,Pakistan,20,8.9,1.8,88,Medium,8,73,27.0,Fail
24,Male,UK,36,8.1,6.6,89,Medium,7,59,51.0,Pass
22,Male,Germany,26,8.3,6.0,62,High,7,31,51.0,Pass
20,Female,France,33,8.7,4.7,72,High,10,28,45.0,Fail
20,Female,Canada,26,4.4,5.7,65,Low,9,60,15.0,Fail
22,Female,USA,47,5.9,9.1,79,Medium,5,3,59.0,Pass
21,Male,Canada,7,4.4,2.8,53,Low,6,55,13.0,Fail
24,Female,France,14,5.1,1.2,89,Medium,1,14,30.0,Fail
24,Female,UK,46,5.1,8.8,65,High,6,58,62.0,Pass
22,Male,Pakistan,25,6.3,6.2,80,High,2,89,51.0,Pass
16,Female,Germany,20,5.3,9.0,91,Medium,6,15,57.0,Pass
23,Female,Canada,16,4.5,6.4,74,Medium,9,2,25.0,Fail
